REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
5,1,11236,1,2,,,2,1,2,5,1,1,30,60711,1,4
7,1,18707,2,2,,,2,1,2,5,2,1,29,40002,2,4
7,1,19758,1,2,,,1,1,2,5,1,1,29,24015,1,4
8,2,20566,2,2,,,2,1,2,5,1,1,21,60111,2,4
8,2,22195,1,2,,,2,1,2,5,1,1,23,60111,2,4
13,1,36062,2,2,,,2,1,2,5,1,1,24,24015,1,4
13,1,37181,5,2,,,1,1,2,5,1,1,22,51013,2,4
13,1,37228,1,2,,,2,1,2,5,1,1,30,24015,2,4
13,1,38590,2,2,,,2,1,2,5,2,1,27,24015,1,4
13,1,39387,2,2,,,2,1,2,5,2,1,19,34021,1,4
16,2,51309,3,2,,,2,1,2,5,1,1,27,0,1,4
17,1,53249,2,2,,,1,1,2,5,1,1,30,24015,2,4
17,2,53605,1,2,,,2,1,2,5,1,1,18,24014,1,4
4,1,9959,2,2,,,2,4,1,5,1,1,28,24015,2,4
11,1,31439,3,2,,,2,4,1,5,1,1,23,24015,1,4
12,1,33733,4,2,,,2,4,1,5,1,1,22,24012,1,4
5,2,13339,3,2,,,2,3,1,5,1,1,22,60111,2,4
7,1,18554,3,2,,,2,3,1,5,1,1,16,24014,2,4
10,1,26191,6,2,,,2,3,1,5,1,1,24,60003,1,4
13,1,37433,1,2,,,2,3,1,5,1,1,21,24015,1,4
17,1,53252,2,2,,,2,3,1,5,2,1,23,24015,2,4
4,1,10770,2,1,40714,COMPUTER SCIENCE TECHNOLOGY,1,2,1,5,1,1,26,50612,1,4
